number	value fitness deviation
  664,	77829.751,45543.806,9996.922


  665,	77829.751,43549.719,10579.418


  666,	77829.751,44436.592,10755.239


  667,	77829.751,46022.052,10506.976


  668,	77829.751,46356.967,9269.849


  669,	77829.751,46217.749,7916.121


  670,	77829.751,43470.672,8021.363


  671,	77829.751,40165.476,6149.714


  672,	77829.751,40765.697,6240.804


  673,	77829.751,40824.090,6791.006


  674,	77829.751,39492.805,5600.277


  675,	77829.751,37774.368,8538.736


  676,	77829.751,38888.206,5811.710


  677,	77829.751,38649.431,7832.934


  678,	77829.751,40422.972,8198.008


  679,	77829.751,40924.124,8525.373


  680,	77829.751,38801.142,7345.525


  681,	77829.751,39597.741,7551.272


  682,	77829.751,40293.239,7582.349


  683,	77829.751,39936.822,11330.145


  684,	77829.751,39260.180,10854.689


  685,	77829.751,39835.608,12626.557


  686,	77829.751,42753.272,12442.167


  687,	77829.751,44666.006,11465.510


  688,	77829.751,42538.545,9543.877


  689,	77829.751,41764.702,7814.751


  690,	77829.751,43770.219,10502.915


  691,	77829.751,46513.039,11793.806


  692,	77829.751,42618.310,9167.938


  693,	77829.751,42997.026,6460.559


  694,	77829.751,43175.146,11121.678


  695,	77829.751,45409.749,11906.224


  696,	77829.751,46954.283,11535.459


  697,	77829.751,46561.193,10862.934


  698,	77829.751,48874.232,11879.936


  699,	77829.751,49763.790,12976.835


  700,	77829.751,47548.660,11626.066


  701,	77829.751,48604.142,10635.158


  702,	77829.751,49103.186,11409.350


  703,	77829.751,47761.095,8137.755


  704,	77829.751,46336.508,7467.853


  705,	77829.751,45465.767,9043.247


  706,	77829.751,44763.828,9912.092


  707,	77829.751,45405.331,10397.939


  708,	77829.751,44584.157,7797.598


  709,	77829.751,42298.844,6796.690


  710,	77829.751,40141.906,7885.027


  711,	77829.751,39957.986,7934.417


  712,	77829.751,40386.156,9902.011


  713,	77829.751,40803.460,8329.296


  714,	77829.751,41475.613,10323.703


  715,	77829.751,42980.611,7576.451


  716,	77829.751,44228.974,7112.591


  717,	77829.751,45428.403,5619.069


  718,	77829.751,43863.941,5400.387


  719,	77829.751,42212.963,8296.122


  720,	77829.751,43667.057,9238.400


  721,	77829.751,42255.741,9249.004


  722,	77829.751,41029.748,8852.381


  723,	77829.751,43244.909,9009.031


  724,	77829.751,43041.909,9852.019


  725,	77829.751,46348.075,11375.004


  726,	77829.751,48118.914,11909.659


