number	value fitness deviation
  152,	771918.271,41584.345,12016.692


  153,	771918.271,42401.050,12322.354


  154,	771918.271,42552.018,10263.215


  155,	771918.271,41160.306,9367.551


  156,	771918.271,42921.705,8545.820


  157,	771918.271,42638.580,10720.482


  158,	771918.271,42905.689,8987.479


  159,	771918.271,40636.283,11236.116


  160,	771918.271,39127.703,10601.776


  161,	771918.271,41056.336,10010.700


  162,	771918.271,43986.287,9514.567


  163,	771918.271,43557.792,9736.425


  164,	771918.271,44372.267,7435.822


  165,	771918.271,43162.061,7185.881


  166,	771918.271,43221.021,6312.400


  167,	771918.271,41393.634,7976.137


  168,	771918.271,40042.507,7053.774


  169,	771918.271,39296.798,7546.641


  170,	771918.271,40320.104,9186.090


  171,	771918.271,41884.673,9046.858


  172,	771918.271,42007.741,8845.624


  173,	771918.271,44100.558,8445.911


  174,	771918.271,43717.341,7559.254


  175,	771918.271,44957.717,9423.999


  176,	771918.271,43233.128,7578.249


  177,	771918.271,42227.897,10611.467


  178,	771918.271,42077.860,8508.890


  179,	771918.271,40870.094,8730.425


  180,	771918.271,43574.894,6704.206


  181,	771918.271,43706.806,7452.675


  182,	771918.271,41536.955,6366.089


  183,	771918.271,41428.106,7858.684


  184,	771918.271,45432.182,6786.974


  185,	771918.271,46848.690,7840.696


  186,	771918.271,44987.983,7157.017


  187,	771918.271,44677.124,9649.064


  188,	771918.271,45198.474,8107.977


  189,	771918.271,46951.011,7730.367


  190,	771918.271,44423.998,6907.207


  191,	771918.271,44065.433,6499.101


  192,	771918.271,42559.240,6965.153


  193,	771918.271,40957.233,7984.751


  194,	771918.271,40751.770,8407.279


  195,	771918.271,42701.116,12805.320


  196,	771918.271,43659.905,9657.816


  197,	771918.271,43853.813,10082.589


  198,	771918.271,45779.942,8445.206


  199,	771918.271,43817.188,8064.203


  200,	771918.271,45247.195,8445.452


  201,	771918.271,44962.175,12954.409


  202,	771918.271,46454.685,11622.592


  203,	771918.271,46761.080,11289.357


  204,	771918.271,46773.407,11068.002


  205,	771918.271,46237.999,11464.590


  206,	771918.271,47842.494,12267.258


  207,	771918.271,47514.224,9662.496


  208,	771918.271,46640.851,9480.310


  209,	771918.271,44601.839,8458.447


  210,	771918.271,42756.352,9230.098


  211,	771918.271,42362.550,9178.104


  212,	771918.271,43469.865,8792.812


  213,	771918.271,45550.606,9425.153


  214,	771918.271,46635.348,10452.560


  215,	771918.271,47485.877,11169.773


  216,	771918.271,48466.525,11456.343


  217,	771918.271,49076.526,9794.583


  218,	771918.271,49029.314,8007.720


  219,	771918.271,47354.765,8309.920


  220,	771918.271,46839.665,8314.495


  221,	771918.271,45263.104,9771.275


  222,	771918.271,45446.183,11289.172


  223,	771918.271,43471.355,10067.616


  224,	771918.271,41538.243,10109.154


  225,	771918.271,42115.839,9061.761


  226,	771918.271,41747.025,9286.128


  227,	771918.271,40661.229,8963.642


  228,	771918.271,40148.124,8539.329


  229,	771918.271,40440.692,7602.183


  230,	771918.271,42874.367,8978.906


  231,	771918.271,46135.809,7179.292


  232,	771918.271,43434.813,6443.156


  233,	771918.271,44325.641,9101.777


  234,	771918.271,45685.713,9626.861


  235,	771918.271,45205.355,6776.854


  236,	771918.271,44314.734,7655.266


  237,	771918.271,42007.694,7069.787


  238,	771918.271,41897.123,9577.413


  239,	771918.271,42225.507,9016.379


  240,	771918.271,42188.431,7172.066


  241,	771918.271,41181.753,8956.680


  242,	771918.271,42242.326,10358.275


  243,	771918.271,44149.981,10944.462


  244,	771918.271,45325.527,9930.147


  245,	771918.271,45489.025,9866.415


  246,	771918.271,45055.961,10441.010


  247,	771918.271,45367.205,10201.283


  248,	771918.271,45322.166,10539.869


  249,	771918.271,47249.494,10622.887


  250,	771918.271,48086.844,10199.028


  251,	771918.271,45769.471,9343.203


  252,	771918.271,44682.272,9559.840


  253,	771918.271,47660.034,10692.786


  254,	771918.271,45129.807,9714.382


  255,	771918.271,46467.057,9885.648


  256,	771918.271,44181.260,8531.963


  257,	771918.271,43813.777,7308.403


  258,	771918.271,42257.937,8561.831


  259,	771918.271,42460.814,8047.753


  260,	771918.271,43792.768,9894.214


  261,	771918.271,46220.376,10818.546


  262,	771918.271,47090.374,10094.959


  263,	771918.271,48425.992,9306.866


  264,	771918.271,48753.228,7568.064


  265,	771918.271,48381.063,8727.948


  266,	771918.271,49707.024,7643.232


  267,	771918.271,50904.267,8224.762


  268,	771918.271,48556.632,9823.249


  269,	771918.271,47359.245,11152.638


  270,	771918.271,46746.408,11471.376


  271,	771918.271,46169.362,8414.160


  272,	771918.271,47705.407,7089.923


  273,	771918.271,49024.859,7439.743


  274,	771918.271,45577.187,8360.089


  275,	771918.271,46017.317,8245.828


  276,	771918.271,44351.744,8955.481


  277,	771918.271,42129.733,8290.999


  278,	771918.271,43986.648,9610.468


  279,	771918.271,44573.467,6900.714


  280,	771918.271,44170.962,9021.778


  281,	771918.271,43676.704,8680.210


  282,	771918.271,44753.348,9042.852


  283,	771918.271,44952.916,10527.477


  284,	771918.271,46753.072,10041.304


  285,	771918.271,46911.363,9799.449


  286,	771918.271,47351.745,10134.777


  287,	771918.271,48899.426,10010.626


  288,	771918.271,48004.225,9636.212


  289,	771918.271,45887.561,6409.629


  290,	771918.271,44017.453,7800.966


  291,	771918.271,43883.050,10797.171


  292,	771918.271,43335.261,11620.374


  293,	771918.271,46073.688,7777.052


  294,	771918.271,45463.410,10237.566


  295,	771918.271,47749.248,10618.509


  296,	771918.271,46226.605,10637.706


  297,	771918.271,47341.283,9467.908


  298,	771918.271,44703.586,9972.235


  299,	771918.271,42817.029,9881.548


  300,	771918.271,43274.817,9020.513


  301,	771918.271,43304.842,9027.419


  302,	771918.271,44958.246,8769.714


  303,	771918.271,45020.918,9576.922


  304,	771918.271,43707.002,9457.056


  305,	771918.271,44520.200,10250.956


  306,	771918.271,43441.159,7885.294


  307,	771918.271,41959.845,8349.357


  308,	771918.271,42503.226,7288.923


  309,	771918.271,40399.077,8649.491


  310,	771918.271,41288.477,9579.612


  311,	771918.271,42063.819,11275.802


  312,	771918.271,40459.188,10934.060


  313,	771918.271,38104.021,9271.089


  314,	771918.271,39501.241,8304.348


  315,	771918.271,40208.451,8304.805


  316,	771918.271,40619.050,9371.561


  317,	771918.271,38669.998,7516.438


  318,	771918.271,38620.160,9154.871


  319,	771918.271,40235.954,8006.749


  320,	771918.271,41200.538,7719.472


  321,	771918.271,43091.120,8912.074


  322,	771918.271,39150.250,8321.968


  323,	771918.271,38926.626,7905.562


  324,	771918.271,40177.829,10215.438


  325,	771918.271,40889.973,9571.932


  326,	771918.271,40541.677,8452.660


  327,	771918.271,42739.822,6959.085


  328,	771918.271,41594.033,8411.365


  329,	771918.271,41710.540,7150.531


  330,	771918.271,40607.877,9682.639


  331,	771918.271,41009.586,9906.198


  332,	771918.271,44735.682,7991.020


  333,	771918.271,44347.839,7855.745


  334,	771918.271,44552.833,8560.374


  335,	771918.271,44328.928,7179.162


  336,	771918.271,43149.149,9567.480


  337,	771918.271,41882.803,9666.474


  338,	771918.271,40215.709,7309.982


  339,	771918.271,40239.201,6702.146


  340,	771918.271,39430.634,7051.740


  341,	771918.271,40726.939,7099.319


  342,	771918.271,39517.339,7592.797


  343,	771918.271,39673.161,8272.827


  344,	771918.271,38331.008,7986.903


  345,	771918.271,37912.808,9705.234


  346,	771918.271,37111.635,9888.388


  347,	771918.271,37384.115,9108.165


  348,	771918.271,36561.353,8455.827


  349,	771918.271,37653.508,7392.510


  350,	771918.271,38644.859,7921.629


  351,	771918.271,38886.597,7676.221


  352,	771918.271,40730.997,6707.156


  353,	771918.271,39878.434,7526.857


  354,	771918.271,40552.048,7787.365


  355,	771918.271,40922.527,8085.234


  356,	771918.271,43250.888,10734.920


  357,	771918.271,43561.348,8344.158


  358,	771918.271,41436.148,10172.305


  359,	771918.271,41861.875,11581.811


  360,	771918.271,43034.441,10050.846


  361,	771918.271,41926.421,10363.170


  362,	771918.271,41853.750,8056.979


  363,	771918.271,44651.707,6864.762


  364,	771918.271,44293.339,9680.752


  365,	771918.271,45196.101,9994.455


  366,	771918.271,44437.395,9211.306


  367,	771918.271,44464.100,7744.743


  368,	771918.271,41996.768,8013.449


  369,	771918.271,41644.834,9392.017


  370,	771918.271,42763.741,9046.039


  371,	771918.271,43665.465,9374.714


  372,	771918.271,46626.385,12811.870


  373,	771918.271,44995.654,9846.373


  374,	771918.271,45774.239,10205.113


  375,	771918.271,48045.422,9617.478


  376,	771918.271,46511.707,7080.472


  377,	771918.271,43118.969,8348.823


  378,	771918.271,42075.340,7124.388


  379,	771918.271,42763.575,8281.008


  380,	771918.271,42896.497,9128.818


  381,	771918.271,40542.952,8563.683


  382,	771918.271,42363.464,9564.577


  383,	771918.271,43179.258,9044.203


  384,	771918.271,41181.890,7452.375


  385,	771918.271,41327.569,7121.260


  386,	771918.271,41413.901,7971.876


  387,	771918.271,42971.242,6979.266


  388,	771918.271,42021.929,8283.332


  389,	771918.271,40706.120,10893.660


  390,	771918.271,42050.148,10780.341


  391,	771918.271,46760.268,10420.376


  392,	771918.271,43945.907,9544.420


  393,	771918.271,45092.738,7897.989


  394,	771918.271,45149.608,7083.381


