number	value fitness deviation
  665,	771918.271,42677.987,9678.896


  666,	771918.271,46102.673,10494.609


  667,	771918.271,46596.226,9212.620


  668,	771918.271,44424.489,8537.072


  669,	771918.271,44976.237,8639.902


  670,	771918.271,46021.418,6227.612


  671,	771918.271,43569.772,7955.013


  672,	771918.271,39408.808,6782.642


  673,	771918.271,40235.032,7456.884


  674,	771918.271,38494.604,6737.461


  675,	771918.271,39185.784,7571.142


  676,	771918.271,39274.837,8320.804


  677,	771918.271,39352.270,8665.165


  678,	771918.271,41545.189,8768.590


  679,	771918.271,40588.532,8577.475


  680,	771918.271,40926.648,8748.052


  681,	771918.271,42714.589,10730.431


  682,	771918.271,43389.982,8661.912


  683,	771918.271,43821.272,8037.277


  684,	771918.271,43502.990,8750.789


  685,	771918.271,42203.636,12030.699


  686,	771918.271,42358.566,10054.502


  687,	771918.271,43087.549,9760.354


  688,	771918.271,45612.696,8104.437


  689,	771918.271,45910.063,6607.117


  690,	771918.271,44891.664,5629.875


  691,	771918.271,42513.314,6160.151


  692,	771918.271,43368.805,8169.010


  693,	771918.271,40666.995,9486.345


  694,	771918.271,41211.188,9812.575


  695,	771918.271,40734.960,9633.908


  696,	771918.271,42872.603,7624.365


  697,	771918.271,43651.168,7288.621


  698,	771918.271,44173.458,8263.445


  699,	771918.271,42677.785,9697.672


  700,	771918.271,40405.630,10131.350


  701,	771918.271,39760.509,9875.415


  702,	771918.271,40228.153,7841.166


  703,	771918.271,39031.560,7973.610


  704,	771918.271,39914.821,8763.050


  705,	771918.271,40711.722,9454.082


  706,	771918.271,44617.490,9152.195


  707,	771918.271,43943.824,7118.234


  708,	771918.271,43722.974,9013.765


  709,	771918.271,45887.981,8931.961


  710,	771918.271,45785.935,6935.484


  711,	771918.271,46366.204,9910.097


  712,	771918.271,45193.735,10964.289


  713,	771918.271,45416.942,8072.063


  714,	771918.271,42979.293,8642.094


  715,	771918.271,39735.917,9886.134


  716,	771918.271,40071.608,10205.301


  717,	771918.271,41284.184,11505.242


  718,	771918.271,39947.853,10733.185


  719,	771918.271,41163.351,11018.246


  720,	771918.271,42155.529,9203.840


  721,	771918.271,42441.780,9830.829


  722,	771918.271,41734.474,8614.624


  723,	771918.271,41908.164,7806.810


  724,	771918.271,41032.347,9356.695


  725,	771918.271,38511.138,8771.427


  726,	771918.271,37340.766,6882.435


